fecha,departamento,casos,dp
2020-03-06,Bogotá D.C.,1.0,11
2020-03-09,Bogotá D.C.,1.0,11
2020-03-09,Valle del Cauca,1.0,76
2020-03-09,Antioquia,1.0,5
2020-03-11,Valle del Cauca,1.0,76
2020-03-11,Bolívar,1.0,13
2020-03-11,Bogotá D.C.,3.0,11
2020-03-11,Antioquia,4.0,5
2020-03-12,Valle del Cauca,1.0,76
2020-03-12,Bolívar,1.0,13
2020-03-12,Huila,3.0,41
2020-03-12,Antioquia,4.0,5
2020-03-12,Bogotá D.C.,5.0,11
2020-03-13,Bolívar,1.0,13
2020-03-13,Meta,1.0,50
2020-03-13,Caldas,1.0,17
2020-03-13,Valle del Cauca,3.0,76
2020-03-13,Huila,3.0,41
2020-03-13,Antioquia,4.0,5
2020-03-13,Bogotá D.C.,6.0,11
2020-03-14,Bolívar,1.0,13
2020-03-14,Meta,1.0,50
2020-03-14,Risaralda,1.0,66
2020-03-14,Caldas,1.0,17
2020-03-14,Valle del Cauca,3.0,76
2020-03-14,Antioquia,7.0,5
2020-03-14,Huila,7.0,41
2020-03-14,Bogotá D.C.,16.0,11
2020-03-15,Meta,1.0,50
2020-03-15,Risaralda,1.0,66
2020-03-15,Norte de Santander,1.0,54
2020-03-15,Caldas,1.0,17
2020-03-15,Cundinamarca,1.0,25
2020-03-15,Santander,1.0,68
2020-03-15,Valle del Cauca,3.0,76
2020-03-15,Bolívar,3.0,13
2020-03-15,Huila,7.0,41
2020-03-15,Antioquia,8.0,5
2020-03-15,Bogotá D.C.,26.0,11
2020-03-16,Meta,1.0,50
2020-03-16,Risaralda,1.0,66
2020-03-16,Norte de Santander,1.0,54
2020-03-16,Caldas,1.0,17
2020-03-16,Cundinamarca,2.0,25
2020-03-16,Atlántico,2.0,8
2020-03-16,Santander,2.0,68
2020-03-16,Valle del Cauca,5.0,76
2020-03-16,Bolívar,5.0,13
2020-03-16,Huila,7.0,41
2020-03-16,Antioquia,8.0,5
2020-03-16,Bogotá D.C.,32.0,11
2020-03-17,Meta,1.0,50
2020-03-17,Caldas,1.0,17
2020-03-17,Tolima,1.0,73
2020-03-17,Risaralda,2.0,66
2020-03-17,Atlántico,2.0,8
2020-03-17,Santander,2.0,68
2020-03-17,Quindío,2.0,63
2020-03-17,Norte de Santander,3.0,54
2020-03-17,Cundinamarca,4.0,25
2020-03-17,Bolívar,6.0,13
2020-03-17,Antioquia,8.0,5
2020-03-17,Huila,8.0,41
2020-03-17,Valle del Cauca,13.0,76
2020-03-17,Bogotá D.C.,39.0,11
2020-03-18,Meta,1.0,50
2020-03-18,Caldas,1.0,17
2020-03-18,Atlántico,2.0,8
2020-03-18,Santander,2.0,68
2020-03-18,Quindío,2.0,63
2020-03-18,Tolima,2.0,73
2020-03-18,Norte de Santander,3.0,54
2020-03-18,Cundinamarca,4.0,25
2020-03-18,Risaralda,5.0,66
2020-03-18,Antioquia,8.0,5
2020-03-18,Huila,8.0,41
2020-03-18,Bolívar,9.0,13
2020-03-18,Valle del Cauca,13.0,76
2020-03-18,Bogotá D.C.,44.0,11
2020-03-19,Meta,1.0,50
2020-03-19,Caldas,2.0,17
2020-03-19,Tolima,2.0,73
2020-03-19,Cauca,2.0,19
2020-03-19,Santander,3.0,68
2020-03-19,Quindío,3.0,63
2020-03-19,Risaralda,5.0,66
2020-03-19,Cundinamarca,5.0,25
2020-03-19,Atlántico,5.0,8
2020-03-19,Norte de Santander,6.0,54
2020-03-19,Huila,9.0,41
2020-03-19,Bolívar,10.0,13
2020-03-19,Antioquia,11.0,5
2020-03-19,Valle del Cauca,14.0,76
2020-03-19,Bogotá D.C.,52.0,11
2020-03-20,Meta,1.0,50
2020-03-20,Caldas,2.0,17
2020-03-20,Tolima,2.0,73
2020-03-20,Cauca,2.0,19
2020-03-20,Magdalena,2.0,47
2020-03-20,Santander,3.0,68
2020-03-20,Quindío,3.0,63
2020-03-20,Atlántico,5.0,8
2020-03-20,Risaralda,6.0,66
2020-03-20,Norte de Santander,6.0,54
2020-03-20,Huila,9.0,41
2020-03-20,Cundinamarca,10.0,25
2020-03-20,Bolívar,11.0,13
2020-03-20,Valle del Cauca,15.0,76
2020-03-20,Antioquia,22.0,5
2020-03-20,Bogotá D.C.,79.0,11
2020-03-21,Meta,1.0,50
2020-03-21,Cauca,2.0,19
2020-03-21,Magdalena,2.0,47
2020-03-21,Caldas,3.0,17
2020-03-21,Santander,3.0,68
2020-03-21,Quindío,3.0,63
2020-03-21,Tolima,3.0,73
2020-03-21,Risaralda,7.0,66
2020-03-21,Atlántico,7.0,8
2020-03-21,Norte de Santander,8.0,54
2020-03-21,Huila,10.0,41
2020-03-21,Cundinamarca,12.0,25
2020-03-21,Bolívar,15.0,13
2020-03-21,Antioquia,25.0,5
2020-03-21,Valle del Cauca,27.0,76
2020-03-21,Bogotá D.C.,84.0,11
2020-03-22,Meta,1.0,50
2020-03-22,Cesar,1.0,20
