departamento,fecha,ML,Low_90,High_90,Low_50,High_50,capital,dp,población,casos,tasa_casos_por_población
Antioquia,2021-06-09,0.8300000000000001,0.71,0.96,0.8,0.91,Medellín,5,6613118,567472.0,0.0858
Atlántico,2021-06-09,0.71,0.53,0.91,0.65,0.81,Barranquilla,8,2517897,278311.0,0.1105
Bogotá D.C.,2021-06-09,0.75,0.67,0.85,0.73,0.81,Bogotá,11,8080734,1047822.0,0.1297
Bolívar,2021-06-09,0.63,0.47,0.8200000000000001,0.58,0.73,Cartagena,13,2146696,111906.0,0.0521
Boyacá,2021-06-09,0.78,0.6,0.98,0.72,0.88,Tunja,15,1279955,73168.0,0.0572
Caquetá,2021-06-09,0.91,0.54,1.34,0.78,1.11,Florencia,18,490056,18697.0,0.0382
Casanare,2021-06-09,0.92,0.6900000000000001,1.16,0.85,1.05,Yopal,85,368989,23366.0,0.0633
Chocó,2021-06-09,0.6900000000000001,0.4,1.01,0.58,0.8300000000000001,Quibdó,27,510047,12476.0,0.0245
Cundinamarca,2021-06-09,0.64,0.51,0.8,0.6,0.72,Bogotá,25,2762784,181802.0,0.0658
Huila,2021-06-09,0.89,0.66,1.12,0.8,0.99,Neiva,41,1182944,61827.0,0.0523
Magdalena,2021-06-09,0.59,0.37,0.8300000000000001,0.51,0.7000000000000001,Santa Marta,47,1285384,73500.0,0.0572
Meta,2021-06-09,1.01,0.81,1.22,0.94,1.11,Villavicencio,50,998162,57430.0,0.0575
Nariño,2021-06-09,0.81,0.62,1.04,0.73,0.9,Pasto,52,1787545,67878.0,0.038
Norte de Santander,2021-06-09,0.79,0.58,1.02,0.71,0.89,Cucutá,54,1379533,64936.0,0.0471
Sucre,2021-06-09,0.81,0.59,1.02,0.74,0.92,Sincelejo,70,868438,39560.0,0.0456
Tolima,2021-06-09,0.81,0.58,1.02,0.74,0.93,Ibagué,73,1416124,79302.0,0.056
Valle del Cauca,2021-06-09,0.96,0.81,1.1,0.9,1.02,Cali,76,4708262,282550.0,0.06
