dp,departamento,población,capital
5,Antioquia,6613118,Medellín
8,Atlántico,2517897,Barranquilla
11,Bogotá D.C.,8080734,Bogotá
13,Bolívar,2146696,Cartagena
15,Boyacá,1279955,Tunja
17,Caldas,991860,Manizales
18,Caquetá,490056,Florencia
19,Cauca,1404205,Popayán
20,Cesar,1053475,Valledupar
23,Córdoba,1762530,Montería
25,Cundinamarca,2762784,Bogotá
27,Chocó,510047,Quibdó
41,Huila,1182944,Neiva
44,La Guajira,1012926,Riohacha
47,Magdalena,1285384,Santa Marta
50,Meta,998162,Villavicencio
52,Nariño,1787545,Pasto
54,Norte de Santander,1379533,Cucutá
63,Quindío,571733,Armenia
66,Risaralda,962529,Pereira
68,Santander,2080938,Bucaramanga
70,Sucre,868438,Sincelejo
73,Tolima,1416124,Ibagué
76,Valle del Cauca,4708262,Cali
81,Arauca,267992,Arauca
85,Casanare,368989,Yopal
86,Putumayo,354094,Mocoa
88,San Andrés y Providencia,77759,San Andrés
91,Amazonas,77948,Leticia
94,Guainía,42777,Inírida
95,Guaviare,114207,San José del Guaviare
97,Vaupés,44500,Mitú
99,Vichada,75468,Puerto Carreño
