departamento,fecha,ML,Low_90,High_90,Low_50,High_50
Antioquia,2020-03-19,3.0,1.01,6.99,2.04,4.45
Antioquia,2020-03-20,2.92,1.2,5.3500000000000005,2.14,3.89
Antioquia,2020-03-21,2.2800000000000002,0.97,4.09,1.76,3.08
Antioquia,2020-03-22,2.09,0.92,3.67,1.62,2.7800000000000002
Antioquia,2020-03-23,1.87,0.81,3.2600000000000002,1.42,2.45
Antioquia,2020-03-24,1.72,0.75,3.0100000000000002,1.31,2.2600000000000002
Antioquia,2020-03-25,1.67,0.75,2.92,1.29,2.2
Antioquia,2020-03-26,1.7,0.76,2.88,1.31,2.2
Antioquia,2020-03-27,1.59,0.72,2.73,1.21,2.05
Antioquia,2020-03-28,1.62,0.75,2.73,1.28,2.11
Antioquia,2020-03-29,1.59,0.75,2.67,1.23,2.0300000000000002
Antioquia,2020-03-30,1.71,0.84,2.7600000000000002,1.35,2.15
Antioquia,2020-03-31,1.76,0.89,2.7600000000000002,1.42,2.2
Antioquia,2020-04-01,1.7,0.88,2.67,1.41,2.16
Antioquia,2020-04-02,1.6400000000000001,0.86,2.58,1.37,2.09
Antioquia,2020-04-03,1.6400000000000001,0.85,2.5100000000000002,1.33,2.02
Antioquia,2020-04-04,1.6300000000000001,0.86,2.47,1.34,2.0100000000000002
Antioquia,2020-04-05,1.69,0.93,2.5,1.3900000000000001,2.04
Antioquia,2020-04-06,1.6,0.9,2.41,1.36,1.99
Antioquia,2020-04-07,1.56,0.87,2.33,1.33,1.94
Antioquia,2020-04-08,1.5,0.8200000000000001,2.23,1.27,1.86
Antioquia,2020-04-09,1.42,0.76,2.13,1.18,1.75
Antioquia,2020-04-10,1.37,0.75,2.1,1.1500000000000001,1.71
Antioquia,2020-04-11,1.36,0.74,2.07,1.1300000000000001,1.68
Antioquia,2020-04-12,1.3,0.67,1.97,1.07,1.61
Antioquia,2020-04-13,1.29,0.67,1.96,1.09,1.6300000000000001
Antioquia,2020-04-14,1.32,0.6900000000000001,1.97,1.09,1.62
Antioquia,2020-04-15,1.31,0.71,1.98,1.11,1.6400000000000001
Antioquia,2020-04-16,1.32,0.73,1.99,1.1,1.62
Antioquia,2020-04-17,1.31,0.71,1.95,1.07,1.58
Antioquia,2020-04-18,1.26,0.68,1.9100000000000001,1.06,1.57
Antioquia,2020-04-19,1.25,0.67,1.8900000000000001,1.01,1.51
Antioquia,2020-04-20,1.28,0.7000000000000001,1.9100000000000001,1.07,1.57
Antioquia,2020-04-21,1.25,0.68,1.8800000000000001,1.06,1.56
Antioquia,2020-04-22,1.22,0.66,1.85,1.01,1.5
Antioquia,2020-04-23,1.18,0.61,1.79,0.98,1.47
Antioquia,2020-04-24,1.16,0.6,1.78,0.97,1.46
Antioquia,2020-04-25,1.1500000000000001,0.6,1.78,0.97,1.46
Antioquia,2020-04-26,1.11,0.56,1.74,0.93,1.42
Antioquia,2020-04-27,1.08,0.52,1.7,0.89,1.3800000000000001
